Product Name,Price,Product Link,Image Link
"OnePlus 12R 5G (8GB, 256GB, Iron Grey)","₹37,999",https://www.croma.com/oneplus-12r-5g-8gb-256gb-iron-grey-/p/305651,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1717069087/Croma%20Assets/Communication/Mobiles/Images/305651_0_cgzaus.png?tr=w-400
"OnePlus Nord CE4 5G (8GB RAM, 128GB, Chrome)","₹23,499",https://www.croma.com/oneplus-nord-ce4-5g-8gb-ram-128gb-chrome-/p/305869,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1711971142/Croma%20Assets/Communication/Mobiles/Images/305869_0_hgbjgw.png?tr=w-400
"Nothing CMF Phone 1 5G (8GB RAM, 128GB, Black)","₹16,999",https://www.croma.com/nothing-cmf-phone-1-5g-8gb-ram-128gb-black-/p/308340,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1720678979/Croma%20Assets/Communication/Mobiles/Images/308340_0_cefn3i.png?tr=w-400
"Nothing Phone 2a 5G (8GB RAM, 128GB, Black)","₹23,999",https://www.croma.com/nothing-phone-2a-5g-8gb-ram-128gb-black-/p/305347,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1710331546/Croma%20Assets/Communication/Mobiles/Images/305347_0_uedcyr.png?tr=w-400
"vivo V40 5G (8GB RAM, 256GB, Lotus Purple)","₹36,999",https://www.croma.com/vivo-v40-5g-8gb-ram-256gb-lotus-purple-/p/308793,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1722953512/Croma%20Assets/Communication/Mobiles/Images/308793_0_a8ctpk.png?tr=w-400
"OnePlus 12R 5G (16GB, 256GB, Cool Blue)","₹40,999",https://www.croma.com/oneplus-12r-5g-16gb-256gb-cool-blue-/p/304699,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1706790957/Croma%20Assets/Communication/Mobiles/Images/304699_c7shme.png?tr=w-400
"Nothing Phone 2a 5G (8GB RAM, 128GB, White)","₹23,999",https://www.croma.com/nothing-phone-2a-5g-8gb-ram-128gb-white-/p/305350,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1710251223/Croma%20Assets/Communication/Mobiles/Images/305350_0_e6efve.png?tr=w-400
"OnePlus Nord 4 5G (8GB RAM, 256GB, Mercurial Silver)","₹32,999",https://www.croma.com/oneplus-nord-4-5g-8gb-ram-256gb-mercurial-silver-/p/308682,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721474959/Croma%20Assets/Communication/Mobiles/Images/308682_0_lsicdp.png?tr=w-400
"vivo V40 5G (12GB RAM, 512GB, Titanium Grey)","₹41,999",https://www.croma.com/vivo-v40-5g-12gb-ram-512gb-titanium-grey-/p/308783,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1722953490/Croma%20Assets/Communication/Mobiles/Images/308783_0_xp2hbr.png?tr=w-400
"Nothing Phone 2a 5G (8GB RAM, 256GB, Black)","₹25,999",https://www.croma.com/nothing-phone-2a-5g-8gb-ram-256gb-black-/p/305348,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1710331545/Croma%20Assets/Communication/Mobiles/Images/305348_0_kcoxcs.png?tr=w-400
